class,mean,CI1,CI2,N,label,binned,age
color,0.15625,0.110795455,0.210227273,352,directed,no,24
age,0.6,0.45,0.7625,160,directed,no,24
material,0,0,0,14,directed,no,24
value,1.014056225,0.951807229,1.084337349,498,directed,no,24
shape,0,0,0,14,directed,no,24
dimension,0.520183486,0.487155963,0.550458716,1090,directed,no,24
physical,0.185185185,0.037037037,0.333333333,27,directed,no,24
color,0.242424242,0.176767677,0.318181818,198,produced,no,24
age,0.222222222,0.12345679,0.345679012,81,produced,no,24
material,0,0,0,6,produced,no,24
value,0.662650602,0.572289157,0.746987952,166,produced,no,24
shape,0,0,0,7,produced,no,24
dimension,0.653370014,0.612104539,0.694635488,727,produced,no,24
physical,0.444444444,0.166666667,0.611111111,18,produced,no,24
dimension-age-physical,0.523101018,0.489428348,0.556773688,1277,directed,yes,24
value,1.014056225,0.953815261,1.084337349,498,directed,yes,24
shape-color-material,0.144736842,0.105263158,0.194736842,380,directed,yes,24
dimension-age-physical,0.60653753,0.566585956,0.64527845,826,produced,yes,24
value,0.662650602,0.572289157,0.746987952,166,produced,yes,24
shape-color-material,0.227488152,0.161137441,0.298578199,211,produced,yes,24
color,0.145228216,0.091286307,0.215767635,241,directed,no,2
age,0.594059406,0.405940594,0.811881188,101,directed,no,2
material,0,0,0,9,directed,no,2
value,1.135245902,1.040983607,1.25,244,directed,no,2
shape,0,0,0,5,directed,no,2
dimension,0.57793345,0.534150613,0.61821366,571,directed,no,2
physical,0.214285714,0,0.428571429,14,directed,no,2
color,0.234899329,0.161073826,0.322147651,149,produced,no,2
age,0.266666667,0.1,0.466666667,30,produced,no,2
material,0,0,0,5,produced,no,2
value,0.652173913,0.52173913,0.77173913,92,produced,no,2
shape,0,0,0,5,produced,no,2
dimension,0.685714286,0.628571429,0.738095238,420,produced,no,2
physical,0.583333333,0.166666667,0.75,12,produced,no,2
dimension-age-physical,0.572886297,0.527696793,0.619533528,686,directed,yes,2
value,1.135245902,1.036885246,1.245901639,244,directed,yes,2
shape-color-material,0.137254902,0.090196078,0.2,255,directed,yes,2
dimension-age-physical,0.655844156,0.601731602,0.703463203,462,produced,yes,2
value,0.652173913,0.52173913,0.782608696,92,produced,yes,2
shape-color-material,0.220125786,0.144654088,0.301886792,159,produced,yes,2
color,0.111111111,0.031746032,0.222222222,63,directed,no,3
age,0.702702703,0.405405405,1.108108108,37,directed,no,3
material,0,0,0,3,directed,no,3
value,0.9375,0.84375,1.05625,160,directed,no,3
shape,0,0,0,7,directed,no,3
dimension,0.429054054,0.368243243,0.483108108,296,directed,no,3
physical,0.125,0,0.375,8,directed,no,3
color,0.181818182,0.045454545,0.318181818,22,produced,no,3
age,0.178571429,0.035714286,0.392857143,28,produced,no,3
material,0,0,0,1,produced,no,3
value,0.666666667,0.454545455,0.818181818,33,produced,no,3
shape,0,0,0,1,produced,no,3
dimension,0.605263158,0.521052632,0.684210526,190,produced,no,3
physical,0.25,0,0.5,4,produced,no,3
dimension-age-physical,0.451612903,0.390029326,0.516129032,341,directed,yes,3
value,0.9375,0.84375,1.05625,160,directed,yes,3
shape-color-material,0.095890411,0.02739726,0.191780822,73,directed,yes,3
dimension-age-physical,0.545045045,0.468468468,0.621621622,222,produced,yes,3
value,0.666666667,0.454545455,0.818181818,33,produced,yes,3
shape-color-material,0.166666667,0.041666667,0.291666667,24,produced,yes,3
color,0.270833333,0.125,0.4375,48,directed,no,4
age,0.454545455,0.227272727,0.681818182,22,directed,no,4
material,0,0,0,2,directed,no,4
value,0.829787234,0.712765957,0.925531915,94,directed,no,4
shape,0,0,0,2,directed,no,4
dimension,0.493273543,0.417040359,0.565022422,223,directed,no,4
physical,0.2,0,0.4,5,directed,no,4
color,0.333333333,0.111111111,0.592592593,27,produced,no,4
age,0.217391304,0.043478261,0.434782609,23,produced,no,4
material,NA,NA,NA,0,produced,no,4
value,0.682926829,0.512195122,0.780487805,41,produced,no,4
shape,0,0,0,1,produced,no,4
dimension,0.615384615,0.504273504,0.709401709,117,produced,no,4
physical,0,0,0,2,produced,no,4
dimension-age-physical,0.484,0.412,0.552,250,directed,yes,4
value,0.829787234,0.712765957,0.925531915,94,directed,yes,4
shape-color-material,0.25,0.115384615,0.403846154,52,directed,yes,4
dimension-age-physical,0.542253521,0.443661972,0.633802817,142,produced,yes,4
value,0.682926829,0.487804878,0.780487805,41,produced,yes,4
shape-color-material,0.321428571,0.107142857,0.571428571,28,produced,yes,4
